offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
11/3,<music21.chord.Chord D4 F4 A4 A5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,,,12,4 2/3
23/6,<music21.chord.Chord D4 F4 A4 F5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,,,12,4 5/6
0.0,<music21.chord.Chord B3 D4 F#4 G4 B4 D5>,"[0, 1, 5, -4]","[6, 7, 11, 2]",Bachlund_Commedia_Dellarte.xml,,,13,1
0.0,<music21.chord.Chord A4 C5 D#5 E5>,"[0, -9, -6, -5]","[9, 0, 3, 4]",Bachlund_Commedia_Dellarte.xml,,,14,1
0.5,<music21.chord.Chord F4 A4 B4 C#5>,"[0, 2, -8, -4]","[9, 11, 1, 5]",Bachlund_Commedia_Dellarte.xml,,,14,1 1/2
1.0,<music21.chord.Chord D5 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,,,14,2
1.5,<music21.chord.Chord C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,,,14,2 1/2
2.0,<music21.chord.Chord B4 D5 F5>,"[0, -9, -6]","[11, 2, 5]",Bachlund_Commedia_Dellarte.xml,,,14,3
2.5,<music21.chord.Chord A4 C5 E5>,"[0, -9, -5]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,,,14,3 1/2
3.0,<music21.chord.Chord G4 B4 D5>,"[0, 4, -5]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,,,14,4
3.5,<music21.chord.Chord F4 A4 C5>,"[0, 4, -5]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,,,14,4 1/2
0.0,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,,,15,1
1/6,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,,,15,1 1/6
1/3,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, -5]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,,,15,1 1/3
0.5,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, -7, -5]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,,,15,1 1/2
1.0,<music21.chord.Chord C4 E4 G4 B4>,"[0, -11, -7, -4]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,,,15,2
1.5,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, -7, -5]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,,,15,2 1/2
